model,scale_pct,noise_ratio_pct,epoch,checkpoint_name,checkpoint_kind,changed_positions,train_subset_utterances,acc_em,acc_sc,acc_gen,loss_em,loss_sc,loss_gen,ntokens_em,ntokens_sc,ntokens_gen,nsentences_em,nsentences_sc,nsentences_gen
hubert_base_ls960,10,40,15,checkpoint15.pt,epoch,68410,12027,99.785,0.113,65.709,0.034,11.629,2.69,68410.0,68410.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,40,16,checkpoint16.pt,epoch,68410,12027,99.867,0.063,66.968,0.024,11.906,2.675,68410.0,68410.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,40,17,checkpoint17.pt,epoch,68410,12027,99.898,0.057,67.942,0.018,12.083,2.667,68410.0,68410.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,40,18,checkpoint18.pt,epoch,68410,12027,99.927,0.044,67.444,0.014,12.469,2.756,68410.0,68410.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,40,19,checkpoint19.pt,epoch,68410,12027,99.943,0.032,67.324,0.011,12.765,2.805,68410.0,68410.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,40,20,checkpoint20.pt,epoch,68410,12027,99.95,0.029,67.557,0.01,12.866,2.822,68410.0,68410.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,40,21,checkpoint21.pt,epoch,68410,12027,99.956,0.026,67.531,0.009,13.009,2.843,68410.0,68410.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,40,22,checkpoint22.pt,epoch,68410,12027,99.961,0.025,67.667,0.008,13.087,2.855,68410.0,68410.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,40,23,checkpoint23.pt,epoch,68410,12027,99.962,0.023,67.528,0.008,13.207,2.879,68410.0,68410.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,40,24,checkpoint24.pt,epoch,68410,12027,99.971,0.016,67.519,0.008,13.292,2.897,68410.0,68410.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,40,25,checkpoint25.pt,epoch,68410,12027,99.968,0.019,67.607,0.007,13.332,2.903,68410.0,68410.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,40,26,checkpoint26.pt,epoch,68410,12027,99.972,0.019,67.629,0.007,13.369,2.91,68410.0,68410.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,40,27,checkpoint27.pt,epoch,68410,12027,99.98,0.01,67.639,0.007,13.4,2.915,68410.0,68410.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,40,28,checkpoint28.pt,epoch,68410,12027,99.981,0.01,67.657,0.007,13.423,2.919,68410.0,68410.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,40,29,checkpoint_last.pt,last,68410,12027,99.982,0.009,67.639,0.007,13.444,2.923,68410.0,68410.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,50,1,checkpoint1.pt,epoch,85698,12027,9.08,10.564,14.643,3.614,3.464,3.316,85698.0,85698.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,50,2,checkpoint2.pt,epoch,85698,12027,12.361,15.215,21.611,3.452,3.276,3.115,85698.0,85698.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,50,3,checkpoint3.pt,epoch,85698,12027,11.984,52.836,59.504,2.57,1.941,1.64,85698.0,85698.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,50,4,checkpoint4.pt,epoch,85698,12027,4.958,82.75,85.846,2.781,1.407,1.17,85698.0,85698.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,50,5,checkpoint5.pt,epoch,85698,12027,5.63,83.119,86.412,2.796,1.357,1.127,85698.0,85698.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,50,6,checkpoint6.pt,epoch,85698,12027,7.89,80.526,85.945,2.704,1.416,1.145,85698.0,85698.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,50,7,checkpoint7.pt,epoch,85698,12027,12.744,74.891,84.369,2.603,1.467,1.103,85698.0,85698.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,50,8,checkpoint8.pt,epoch,85698,12027,26.556,57.968,78.445,2.278,1.803,1.164,85698.0,85698.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,50,9,checkpoint9.pt,epoch,85698,12027,48.009,36.79,72.158,1.746,2.487,1.278,85698.0,85698.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,50,10,checkpoint10.pt,epoch,85698,12027,70.327,17.983,64.774,1.131,3.844,1.589,85698.0,85698.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,50,11,checkpoint11.pt,epoch,85698,12027,86.59,6.413,59.387,0.61,5.82,2.067,85698.0,85698.0,122495.0,12027.0,12027.0,7176.0
